dish_name,calories,protein,carbohydrates,fats,dietary_fiber,sugars,sodium,calcium,iron,vitamin_c,folate
Hot tea (Garam Chai),16.14,0.39,2.58,0.53,0.0,2.58,3.12,14.2,0.02,0.5,1.8
Instant coffee,23.16,0.64,3.65,0.75,0.0,3.62,4.92,20.87,0.06,1.51,5.6
Espreso coffee,51.54,1.75,6.62,2.14,0.0,6.53,13.98,58.1,0.15,1.51,5.53
Iced tea,10.34,0.03,2.7,0.01,0.0,2.7,0.23,1.18,0.02,5.95,1.28
Raw mango drink (Aam panna),35.92,0.16,9.05,0.03,0.61,7.49,79.82,7.08,0.14,45.3,14.05
Fruit Punch (with fresh juices),36.12,0.14,9.38,0.03,0.06,9.25,2.63,5.07,0.1,41.44,24.57
Fruit Punch (with squashes),23.13,0.07,5.99,0.02,0.17,5.88,2.26,3.3,0.06,15.08,9.13
Lemonade,20.8,0.03,5.48,0.01,0.02,5.47,28.52,1.84,0.05,5.27,2.11
Lem-o-gin,21.52,0.08,5.55,0.03,0.13,5.38,28.13,2.2,0.09,5.68,2.92
Cumin infused water (Jeere/Zeere ka pani),9.09,0.17,1.86,0.11,0.46,1.46,189.6,10.84,0.32,3.61,3.14
Coco pine cooler,32.75,0.56,5.72,1.0,0.26,5.52,23.2,17.81,0.13,10.67,12.64
Summer cooler,22.43,0.37,5.43,0.04,0.2,5.21,1.57,8.13,0.28,103.5,63.89
Hot cocoa,90.1,3.36,9.23,4.56,0.0,9.01,24.2,113.66,0.31,3.62,13.79
Cold coffee with ice cream,67.85,1.57,11.24,2.11,0.01,11.18,13.84,53.29,0.12,2.53,9.49
Banana milkshake (Kele milkshake),65.31,1.84,9.15,2.37,0.26,7.96,13.61,62.64,0.13,6.84,19.83
Mango milkshake (Aam milkshake),56.9,1.73,7.23,2.35,0.26,7.15,13.27,62.33,0.15,20.1,53.68
Pineapple milkshake (Ananas milkshake),55.72,1.66,7.62,2.23,0.0,7.6,14.05,59.92,0.11,10.22,17.45
Orange milkshake (Narangi milkshake),57.42,1.86,7.11,2.52,0.0,7.08,14.63,67.42,0.11,10.82,16.85
Egg nog,97.14,4.78,8.15,5.11,0.02,8.06,40.65,102.13,0.43,4.82,41.91
Sweet Lassi (Meethi lassi),35.66,1.29,6.51,0.68,0.0,6.51,18.31,45.65,0.03,1.0,18.0
Lassi (salted),18.84,1.35,1.86,0.72,0.02,1.84,65.4,47.78,0.04,1.02,18.07
Cheese and chilli sandwich ,218.11,6.8,27.4,9.78,2.08,2.38,437.5,113.79,0.99,12.3,16.14
Egg sandwich (Ande ka sandwich),285.96,8.69,29.16,15.8,1.88,1.86,461.67,110.13,1.44,0.0,14.92
Cucumber sandwich (Kheere ka sandwich),188.6,4.8,25.77,8.0,2.45,1.64,362.64,87.84,1.02,1.53,12.96
